image_path,label
data\patch_dataset\patches\negative\synth_08_neg_018.png,0
data\patch_dataset\patches\negative\synth_07_neg_007.png,0
data\patch_dataset\patches\positive\synth_05_pos.png,1
data\patch_dataset\patches\negative\synth_09_neg_017.png,0
data\patch_dataset\patches\negative\synth_01_neg_012.png,0
data\patch_dataset\patches\negative\synth_06_neg_017.png,0
data\patch_dataset\patches\negative\synth_08_neg_017.png,0
data\patch_dataset\patches\negative\synth_07_neg_010.png,0
data\patch_dataset\patches\negative\synth_08_neg_012.png,0
data\patch_dataset\patches\negative\synth_08_neg_009.png,0
data\patch_dataset\patches\negative\synth_00_neg_008.png,0
data\patch_dataset\patches\negative\synth_06_neg_006.png,0
data\patch_dataset\patches\negative\synth_01_neg_000.png,0
data\patch_dataset\patches\negative\synth_08_neg_019.png,0
data\patch_dataset\patches\negative\synth_07_neg_011.png,0
data\patch_dataset\patches\negative\synth_06_neg_013.png,0
data\patch_dataset\patches\negative\synth_08_neg_004.png,0
data\patch_dataset\patches\negative\synth_08_neg_005.png,0
data\patch_dataset\patches\negative\synth_08_neg_016.png,0
data\patch_dataset\patches\negative\synth_08_neg_006.png,0
data\patch_dataset\patches\positive\synth_02_pos.png,1
data\patch_dataset\patches\negative\synth_06_neg_008.png,0
data\patch_dataset\patches\negative\synth_09_neg_018.png,0
data\patch_dataset\patches\negative\synth_01_neg_003.png,0
data\patch_dataset\patches\negative\synth_07_neg_014.png,0
data\patch_dataset\patches\negative\synth_06_neg_016.png,0
data\patch_dataset\patches\negative\synth_06_neg_003.png,0
data\patch_dataset\patches\negative\synth_07_neg_006.png,0
data\patch_dataset\patches\negative\synth_09_neg_008.png,0
data\patch_dataset\patches\negative\synth_07_neg_012.png,0
data\patch_dataset\patches\negative\synth_09_neg_006.png,0
data\patch_dataset\patches\negative\synth_09_neg_016.png,0
data\patch_dataset\patches\negative\synth_07_neg_013.png,0
data\patch_dataset\patches\negative\synth_07_neg_019.png,0
data\patch_dataset\patches\negative\synth_07_neg_005.png,0
data\patch_dataset\patches\negative\synth_09_neg_012.png,0
data\patch_dataset\patches\negative\synth_09_neg_003.png,0
data\patch_dataset\patches\negative\synth_09_neg_001.png,0
data\patch_dataset\patches\negative\synth_08_neg_013.png,0
data\patch_dataset\patches\negative\synth_06_neg_015.png,0
data\patch_dataset\patches\negative\synth_06_neg_019.png,0
data\patch_dataset\patches\negative\synth_09_neg_009.png,0
data\patch_dataset\patches\negative\synth_07_neg_017.png,0
data\patch_dataset\patches\negative\synth_07_neg_001.png,0
data\patch_dataset\patches\negative\synth_09_neg_011.png,0
data\patch_dataset\patches\negative\synth_08_neg_001.png,0
data\patch_dataset\patches\negative\synth_01_neg_019.png,0
data\patch_dataset\patches\positive\synthetic_pos.png,1
data\patch_dataset\patches\negative\synth_09_neg_010.png,0
data\patch_dataset\patches\negative\synth_09_neg_000.png,0
data\patch_dataset\patches\negative\synth_07_neg_018.png,0
data\patch_dataset\patches\negative\synth_06_neg_010.png,0
data\patch_dataset\patches\negative\synth_06_neg_004.png,0
data\patch_dataset\patches\negative\synth_07_neg_003.png,0
data\patch_dataset\patches\negative\synth_01_neg_016.png,0
data\patch_dataset\patches\negative\synth_06_neg_002.png,0
data\patch_dataset\patches\negative\synth_07_neg_002.png,0
data\patch_dataset\patches\negative\synth_09_neg_019.png,0
data\patch_dataset\patches\negative\synth_07_neg_009.png,0
data\patch_dataset\patches\negative\synth_08_neg_008.png,0
data\patch_dataset\patches\negative\synth_06_neg_007.png,0
data\patch_dataset\patches\negative\synth_07_neg_004.png,0
data\patch_dataset\patches\positive\synth_03_pos.png,1
data\patch_dataset\patches\negative\synth_06_neg_001.png,0
data\patch_dataset\patches\negative\synth_08_neg_015.png,0
data\patch_dataset\patches\negative\synth_06_neg_000.png,0
data\patch_dataset\patches\negative\synth_09_neg_004.png,0
data\patch_dataset\patches\negative\synth_08_neg_000.png,0
data\patch_dataset\patches\negative\synth_07_neg_016.png,0
data\patch_dataset\patches\positive\synth_01_pos.png,1
data\patch_dataset\patches\negative\synth_08_neg_007.png,0
data\patch_dataset\patches\positive\synth_00_pos.png,1
data\patch_dataset\patches\negative\synth_01_neg_002.png,0
data\patch_dataset\patches\negative\synth_06_neg_018.png,0
data\patch_dataset\patches\negative\synth_06_neg_009.png,0
data\patch_dataset\patches\negative\synth_07_neg_015.png,0
